"label";"designation";"row";"sound_dB";"distance_to_speaker1";"distance_to_speaker2";"distance_to_speaker3";"distance_to_speaker4";"geometry"
"1";"tree";1;3;39.3;56.3993845008794;40.7163993752694;99.0863731895638;91.890504938693;c(382188.57975197, 275482.610216262)
"2";"tree";2;3;43.8;27.101951292481;35.834169406232;72.2544644413385;76.4811033603995;c(382217.551315236, 275478.213467316)
"3";"tree";3;3;63.8;16.6998539122081;39.9631337178059;63.5191071443391;73.5395572975073;c(382227.89777685, 275477.117682844)
"4";"tree";4;3;66.7;11.5932059822369;58.6661926430238;42.4661916455255;71.4025130053052;c(382255.834795369, 275472.719728382)
"5";"tree";5;3;40.7;23.1864104339156;68.0500385173157;36.3828429646201;73.3217704073707;c(382267.216988906, 275470.517897383)
"6";"tree";6;3;34.5;52.3036061334697;94.6978571955356;38.1967355960838;87.0797913148223;c(382296.187296979, 275467.228163887)
"7";"tree";1;8;66.8;58.6661988390414;11.5931868839387;83.6530945348807;61.2562828028822;c(382192.756861806, 275447.18576814)
"8";"tree";2;8;73.2;45.3536127990285;7.32580690035852;64.7490724766897;46.9583672837061;c(382211.381920406, 275443.884792033)
"9";"tree";3;8;52.1;39.688698666395;18.9153153876938;53.1772036306711;39.9736288201823;c(382222.764099747, 275441.682992217)
"10";"tree";4;8;52;40.3868799760252;52.4789872247747;19.6870821149071;37.6463800456002;c(382255.874882626, 275436.183566068)
"11";"tree";5;8;54.5;43.4506327510638;60.6525273590552;11.4334781684116;42.5569763610733;c(382264.151057068, 275436.192644519)
"12";"tree";6;8;65.1;64.2577821862296;88.932427673952;16.8823180242383;62.3452175599741;c(382292.087994988, 275431.794627125)
"13";"tree";1;13;57.2;87.8854925795686;39.5518129623874;94.2400379904198;52.1508466039218;c(382184.520930264, 275410.64048944)
"14";"tree";2;13;58;74.3263334540917;38.7777042874219;67.9629895133937;23.000538325481;c(382213.491148085, 275407.350903746)
"15";"tree";3;13;66.4;71.6941991150211;43.4506180657741;59.1964970723555;12.6101814197494;c(382223.837564655, 275406.255121739)
"16";"tree";4;13;63.2;73.5395574430015;65.0275806139628;40.2642608220881;16.699779819331;c(382252.808981527, 275401.858309062)
"17";"tree";5;13;57.3;75.7852600499501;71.2887095818814;37.6668769134335;24.024674786853;c(382260.051833272, 275400.759097773)
"18";"tree";6;13;32.3;89.3603518377394;97.276701086398;39.9736273556764;53.1770818344441;c(382289.022017886, 275397.469376725)
