,label,designation,row,sound_dB,longitude,latitude,geometry,distance_to_speaker1,distance_to_speaker2,distance_to_speaker3,distance_to_speaker4
0,tree,1,3,39.3,165.82783,-21.72136,POINT (382188.57975197036 275482.6102162617),56.399384500879385,40.71639937526939,99.08637318956383,91.89050493869303
1,tree,2,3,43.8,165.82811,-21.7214,POINT (382217.5513152357 275478.2134673156),27.10195129248098,35.83416940623196,72.25446444133853,76.48110336039953
2,tree,3,3,63.8,165.82821,-21.72141,POINT (382227.8977768503 275477.1176828436),16.69985391220814,39.963133717805874,63.51910714433909,73.53955729750734
3,tree,4,3,66.7,165.82848,-21.72145,POINT (382255.83479536907 275472.7197283819),11.593205982236894,58.66619264302379,42.46619164552547,71.40251300530524
4,tree,5,3,40.7,165.82859,-21.72147,POINT (382267.21698890603 275470.5178973835),23.186410433915604,68.05003851731567,36.3828429646201,73.3217704073707
5,tree,6,3,34.5,165.82887,-21.7215,POINT (382296.18729697884 275467.2281638867),52.303606133469714,94.69785719553556,38.19673559608384,87.07979131482226
6,tree,1,8,66.8,165.82787,-21.72168,POINT (382192.7568618061 275447.1857681396),58.66619883904139,11.593186883938722,83.65309453488072,61.256282802882204
7,tree,2,8,73.2,165.82805,-21.72171,POINT (382211.38192040613 275443.8847920326),45.35361279902849,7.325806900358519,64.74907247668972,46.95836728370606
8,tree,3,8,52.1,165.82816,-21.72173,POINT (382222.76409974677 275441.6829922167),39.68869866639505,18.91531538769379,53.17720363067107,39.97362882018227
9,tree,4,8,52.0,165.82848,-21.72178,POINT (382255.8748826259 275436.18356606795),40.386879976025234,52.4789872247747,19.68708211490707,37.646380045600225
10,tree,5,8,54.5,165.82856,-21.72178,POINT (382264.15105706826 275436.19264451874),43.4506327510638,60.65252735905519,11.433478168411584,42.55697636107332
11,tree,6,8,65.1,165.82883,-21.72182,POINT (382292.08799498796 275431.79462712543),64.25778218622963,88.93242767395199,16.882318024238323,62.34521755997405
12,tree,1,13,57.2,165.82779,-21.72201,POINT (382184.5209302643 275410.6404894396),87.8854925795686,39.551812962387395,94.24003799041978,52.150846603921785
13,tree,2,13,58.0,165.82807,-21.72204,POINT (382213.4911480845 275407.3509037464),74.3263334540917,38.77770428742193,67.96298951339371,23.000538325480978
14,tree,3,13,66.4,165.82817,-21.72205,POINT (382223.83756465535 275406.25512173865),71.69419911502106,43.450618065774094,59.196497072355534,12.610181419749376
15,tree,4,13,63.2,165.82845,-21.72209,POINT (382252.80898152746 275401.85830906214),73.53955744300151,65.02758061396283,40.26426082208808,16.699779819331
16,tree,5,13,57.3,165.82852,-21.7221,POINT (382260.0518332723 275400.75909777306),75.78526004995008,71.28870958188136,37.66687691343347,24.024674786852962
17,tree,6,13,32.3,165.8288,-21.72213,POINT (382289.02201788593 275397.46937672497),89.3603518377394,97.27670108639805,39.97362735567638,53.177081834444074
